Engine_ID,RUL,Health_State,Flight_cycle_number,Cycle_Percentage,Cycle_Log,Cycle_Squared,Engine_Max_Cycle,HPC_outlet_temperature_R_cummax,LPC_outlet_temperature_R_cummax,Fan_stall_margin_cumsum,HPT_outlet_temperature_R_cumsum,LPC_stall_margin,LPC_outlet_temperature_R_cumsum,HPC_outlet_temperature_R_cumsum,HPT_outlet_temperature_R_rolling_max_10,Fan_stall_margin_rolling_max_5,HPT_outlet_temperature_R_rolling_max_5,Temp_Ratio_HPC_LPC,Fan_stall_margin_rolling_max_10,HPC_outlet_temperature_R_rolling_max_10,LPC_outlet_temperature_R_rolling_max_10,Press_Ratio_Fan,Fan_stall_margin_trend_2nd
98,7,0,160,0.2289976850565424,0.304680925925653,0.4663484663484663,0.3939393939393939,-1.6112781954887236,-1.6302460202604812,-0.8028949132964136,-0.7975369016591666,-0.5951864700780652,-0.6460326904039518,-0.6458080716511262,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.034527355992321,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.4083155945041873,0.0
76,12,0,198,0.923197160443885,0.4965601398720476,0.9696969696969696,-0.2929292929292929,-0.3699248120300819,-0.4862518089725078,-0.7996346039592012,-0.7910387638750692,0.1548858051459994,-0.6052143687680985,-0.6049247573044471,0.604395604395625,0.8421052631592804,0.7241379310344591,0.6386691019442923,0.7333333333359607,-0.7473309608541151,-0.9096573208722863,-0.6460619799297828,0.0
29,110,2,41,-0.5528981368636255,-0.9120921158402276,-0.4186554186554186,-0.3131313131313131,-1.6112781954887236,-1.6302460202604812,-0.8026823084986966,-0.797200694873858,-0.6349378433073226,-0.6404080252201455,-0.6402126854604849,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.560312290706858,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2197771818759853,0.0
112,376,2,2,-0.9299403969830476,-2.1198157098983583,-0.4807044807044807,0.898989898989899,-1.6112781954887236,-1.6302460202604812,-0.8028834710243142,-0.7976192095443666,-0.2585284764382824,-0.6459161681968435,-0.6457399502609049,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-1.436234240680858,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2184502253061672,0.0
216,186,2,43,-0.5407310934595553,-0.8699675067490138,-0.4124394124394124,-0.2727272727272727,-1.6112781954887236,-1.6302460202604812,-0.8009148465648982,-0.7937618993311787,0.2047557097427015,-0.6206703483075889,-0.6204522421893586,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.0558028789855162,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.5056257429574545,0.0
227,245,2,42,-0.6026856853881384,-0.8907848786951313,-0.4155844155844156,0.101010101010101,0.0736842105263174,0.034732272069466,-0.7996397714369234,-0.7911273494803269,0.289317721884932,-0.604858877288785,-0.604615590994981,-0.7912087912086251,-0.6315789473676653,-0.3706896551723445,0.2822028959023303,-1.1333333333365672,0.3024911032028609,0.2118380062305116,-0.7685843032095764,0.0
98,9,0,158,0.2143536907826839,0.2933618310622186,0.4428164428164428,0.3939393939393939,-0.354887218045116,-0.4081041968162011,-0.758819465722482,-0.7526595735405259,0.1469355305001453,-0.5915269593381933,-0.5912847589393604,0.4945054945055,0.6842105263161674,0.6379310344827215,0.3095112980193307,0.5333333333341418,-0.7117437722420067,-0.7414330218068438,-0.6532496613496253,0.0
87,159,2,100,-0.0598305024001923,-0.1175464650266117,-0.1108521108521108,-0.1313131313131313,-1.6112781954887236,-1.6302460202604812,-0.8026843385792303,-0.797190929531546,-0.6816276380456935,-0.6403359394479513,-0.6401141714500109,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.0141431496477655,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.1394963094020392,0.0
159,168,2,120,-0.0087758805050624,0.0460531002778026,0.0519480519480519,0.2121212121212121,-1.6112781954887236,-1.6302460202604812,-0.802688214187522,-0.7972083676428172,-0.896429603931785,-0.6406331698237108,-0.6404065694172686,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.1178077517889155,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2763939955215217,0.0
36,4,0,154,0.1562455729292262,0.2702901167977755,0.3966403966403966,0.4747474747474747,-0.4526315789473686,-0.4515195369030418,-0.799634788511977,-0.7910143505192895,0.150260190806586,-0.6051906693361443,-0.6049823984807882,0.989010989011,0.7894736842107782,1.0258620689654918,0.0140667106531029,0.6666666666676773,-0.9430604982206507,-0.8348909657320976,-0.6103447322588668,0.0
177,152,2,90,0.0829313136004538,-0.2119564570145883,-0.1811521811521811,-0.7070707070707071,-1.6112781954887236,-1.6302460202604812,-0.8008203555436906,-0.7935491543736701,-0.8649176062445876,-0.6265754567695205,-0.6264133878444191,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.6735484121663156,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.1420396428275242,0.0
64,8,0,176,0.4512540520498557,0.3904743530867526,0.6652606652606653,0.1616161616161616,-1.6112781954887236,-1.6302460202604812,-0.8008170335937262,-0.7935212533956363,-0.662257877999435,-0.6267087660742631,-0.626508757790729,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.195595944856225,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.20330080446742,0.0
151,139,2,212,0.4218595116603847,0.5581237512134257,1.182077182077182,0.8181818181818182,0.0661654135338259,0.0246020260492146,-0.7996390332258204,-0.7911426950182455,0.3482943047123382,-0.6048657896231049,-0.6046208311019211,-1.0329670329668752,-0.4210526315784434,-0.5603448275861478,0.2949769997326542,-0.8666666666694962,0.2846975088967865,0.1900311526479771,-0.8027534348823699,0.0
47,126,2,88,-0.392038934848829,-0.2320798584593274,-0.1943241943241943,0.9191919191919192,0.0345864661654163,-0.0723589001447181,-0.7996381104619413,-0.7910973559289405,0.4499132697311402,-0.6049319505373105,-0.6046428395510695,-0.31868131868125,-0.1578947368407196,0.0,0.6324510405941434,-0.5333333333341418,0.2099644128114033,-0.0186915887850649,-0.7237995189782439,0.0
