Engine_ID,RUL,Health_State,Flight_cycle_number,Cycle_Percentage,Cycle_Log,Cycle_Squared,Engine_Max_Cycle,HPC_outlet_temperature_R_cummax,LPC_outlet_temperature_R_cummax,Fan_stall_margin_cumsum,HPT_outlet_temperature_R_cumsum,LPC_stall_margin,LPC_outlet_temperature_R_cumsum,HPC_outlet_temperature_R_cumsum,HPT_outlet_temperature_R_rolling_max_10,Fan_stall_margin_rolling_max_5,HPT_outlet_temperature_R_rolling_max_5,Temp_Ratio_HPC_LPC,Fan_stall_margin_rolling_max_10,HPC_outlet_temperature_R_rolling_max_10,LPC_outlet_temperature_R_rolling_max_10,Press_Ratio_Fan,Fan_stall_margin_trend_2nd,Predicted_RUL,Failure_Risk,Health_Status,Risk_Category
206,149,2,72,-0.3193007051972291,-0.4115321981362345,-0.289044289044289,-0.0808080808080808,-0.0571428571428566,-0.070911722141825,-0.7996390332258204,-0.7910882881110793,0.31707140792136,-0.604930963060979,-0.6047067688557388,-0.175824175824125,-0.4210526315784434,0.1120689655172295,0.1364820411406895,-0.8666666666694962,-0.0071174377224135,-0.01557632398756,-0.7336411135377205,0.0,174.02958894765013,4.106403385824641e-06,Good,Safe
7,112,2,147,-0.16089866248494,0.2284436572397659,0.3186813186813186,1.5555555555555556,-0.1729323308270648,-0.1273516642547032,-0.7996373722508382,-0.791094565831137,0.4465886094246863,-0.6049694746379047,-0.6047874665026164,-0.27472527472525,0.0526315789485021,0.0344827586206558,-0.1860710599587856,-0.2666666666670709,-0.2811387900355797,-0.1370716510903581,-0.732645896110358,0.0,199.05729012141208,3.361429408391302e-07,Good,Safe
7,195,2,229,0.27510883369268,0.6276557224942985,1.4594664594664597,1.5555555555555556,-0.0195488721804505,-0.1273516642547032,-0.7555665384963016,-0.7463351193446898,0.2692252095981521,-0.5503146346461009,-0.5500304450213219,-0.27472527472525,0.0526315789485021,0.0344827586206558,0.9564391513645214,-0.2666666666670709,0.0818505338078372,-0.1370716510903581,-0.8108257540154258,0.0,192.90354229140138,6.21981895762353e-07,Good,Safe
257,205,2,104,-0.190891600595193,-0.0823763823581889,-0.0806600806600806,0.4343434343434343,-1.6112781954887236,-1.6302460202604812,-0.802889930371467,-0.7976080491531531,-0.4757877999421835,-0.6459872664927062,-0.6457640547528293,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.0080194328884478,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3026013877754125,0.0,192.33844328865428,6.581420897869531e-07,Good,Safe
220,12,0,222,1.2511614446588333,0.5996684590371555,1.3426573426573427,-0.404040404040404,-1.6112781954887236,-1.6302460202604812,-0.8083635811488011,-0.7984513562142279,-2.1811939867013583,-0.6423326165900961,-0.6422196464185441,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0,9.019972250211184,0.9836654407134567,Bad,Critical
182,93,1,112,0.3467535152999405,-0.0158866495579042,-0.0167240167240167,-0.7272727272727273,-0.1639097744360955,-0.1808972503617953,-0.7996388486730446,-0.7911029361245472,0.2238363688927408,-0.6050060112621675,-0.6047811783742881,-0.406593406593375,-0.3684210526299413,-0.0689655172414097,0.1413158771626259,-0.8000000000012126,-0.2597864768683389,-0.2523364485981464,-0.7338622729660249,0.0,76.68815519932068,0.06483875217810958,Good,Safe
178,26,1,144,1.2906872699112832,0.2099000235836806,0.2863802863802864,-1.2323232323232325,-1.6112781954887236,-1.6302460202604812,-0.8028880848437091,-0.7975564323437903,-0.3845764671870585,-0.6460178782589804,-0.6457766310094856,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.5441478467467923,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3874160285295669,0.0,39.03002944746115,0.7496970214554377,Bad,Critical
237,96,1,113,0.2824909165666322,-0.0079084851883755,-0.0083990083990083,-0.6060606060606061,-1.6112781954887236,-1.6302460202604812,-0.8008212783075697,-0.793517765773382,-0.9286643538595036,-0.626655442352366,-0.6264741730849243,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.4323787376923603,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.1595112376634501,0.0,69.36718788152879,0.12600877500251298,Good,Safe
201,288,2,90,-0.4108053980989418,-0.2119564570145883,-0.1811521811521811,1.1313131313131313,-1.6112781954887236,-1.6302460202604812,-0.8009155847760014,-0.7937660844778839,0.4282307025151816,-0.6207058974555203,-0.6204679625101789,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.2685231589581656,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.5221021203660179,0.0,243.13023285131098,4.096948989199985e-09,Good,Safe
238,7,0,180,1.2906872699112832,0.4107101851000783,0.717948717948718,-0.8686868686868687,-1.6112781954887236,-1.6302460202604812,-0.8009045116094536,-0.7937353934020465,0.754914715235616,-0.6198912294820933,-0.6197217712819083,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.4533277425344665,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.6358886462278486,0.0,10.818694847183606,0.9805092199917028,Bad,Critical
